,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VELLAIOYA ESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METEOROLOGICAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,Page 03,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAST TEN YEARS DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,2025/26,,2024/25,,2023/24,,2022/23,,2021/22,,2020/21,,2019/20,,2018/19,,2017/18,,2016/17,,10yr Average,,,,,,,
,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,Wet days,Rainfall,,,,,,
April,17,384,6,41,18,542,19,595,16,224,16,222,16,349,20,373,-,-,9,163,17,353,,,,,,
May,25,"1,036",19,813,17,428,24,"1,324",23,959,19,766,8,120,26,831,27,856,28,"1,352",20,800,,,,,,
June,24,"1,041",11,182,27,793,24,378,19,481,20,524,20,495,30,932,28,466,24,631,23,562,,,,,,
July,20,825,17,456,21,772,26,674,25,670,19,363,13,605,26,809,20,383,18,448,22,624,,,,,,
August,19,496,14,283,8,107,20,"1,393",24,955,16,527,26,"1,175",20,"1,055",20,"1,326",20,614,21,"1,021",,,,,,
September,20,505,24,478,21,540,10,484,22,845,27,682,21,441,13,275,25,442,11,160,19,545,,,,,,
October,17,359,16,417,29,561,25,"1,166",26,745,15,593,27,686,24,480,22,708,16,444,23,734,,,,,,
November,,,23,895,23,522,8,213,26,866,14,160,16,375,18,231,17,250,16,577,16,369,,,,,,
December,,,8,192,17,285,11,210,6,192,12,275,13,227,9,219,13,272,3,151,10,225,,,,,,
January,,,9,154,8,57,8,58,8,78,11,100,-,-,3,48,5,46,7,99,6,57,,,,,,
February,,,2,49,-,-,6,78,7,89,6,71,-,-,8,202,9,95,-,-,5,88,,,,,,
March,,,8,76,-,-,15,367,9,237,11,228,6,44,3,65,11,164,18,418,9,188,,,,,,
Total,142,"4,646",157,"4,036",189,"4,607",196,"6,940",211,"6,341",186,"4,511",166,"4,517",200,"5,520",197,"5,008",170,"5,057",192,"5,566",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VELLAIOYA ESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METEOROLOGICAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAST TEN YEARS DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rain Fall,Wet Days,,,,,,,,,,,,,,,,,,,,,,,,
April - todate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last year,2024/25,,"4,036",157,,,,,,,,,,,,,,,,,,,,,,,,
01 year before,2023/24,,"4,607",189,,,,,,,,,,,,,,,,,,,,,,,,
02 years before,2022/23,,"6,940",196,,,,,,,,,,,,,,,,,,,,,,,,
03 years before,2022/21,,"6,341",211,,,,,,,,,,,,,,,,,,,,,,,,
04 years before,2021/22,,"4,511",186,,,,,,,,,,,,,,,,,,,,,,,,
05 years before,2020/21,,"4,517",166,,,,,,,,,,,,,,,,,,,,,,,,
06 years before,2019/22,,"5,520",200,,,,,,,,,,,,,,,,,,,,,,,,
07 years before,2018/19,,"5,008",197,,,,,,,,,,,,,,,,,,,,,,,,
08 years before,2017/18,,"5,057",170,,,,,,,,,,,,,,,,,,,,,,,,
09 years before,2016/17,,"5,566",192,,,,,,,,,,,,,,,,,,,,,,,,
,,,"52,101","1,864",,,,,,,,,,,,,,,,,,,,,,,,
Last 10 Years average,,,"5,210",186,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
