system:index,NDVI,date,image_count,.geo
0,,2016-04,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,2016-05,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,2016-06,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,2016-07,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,2016-08,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,2016-09,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,2016-10,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,2016-11,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,2016-12,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,2017-01,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,2017-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,2017-03,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,2017-04,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,2017-05,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,2017-06,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,2017-07,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,2017-08,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,2017-09,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,2017-10,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,2017-11,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.40855675508463096,2017-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,2018-01,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,2018-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,2018-03,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,2018-04,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,2018-05,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,2018-06,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.17206431225518495,2018-07,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,2018-08,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,2018-09,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,2018-10,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,2018-11,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.6899026588583606,2018-12,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
