Division,Field,Area,Crop,Date,Amount,,
LVO,1,4,VP,25-Sept-23,22,,1
,2,9,VP,07-Apr-24,16,,2
,3,5,VP,10-Feb-25,6,,3
,3B,5,VP,26-Mar-24,16,,3B
,5,7,VP,19-Aug-24,11,,5
,5A,7,VP,28-Mar-24,16,,5A
,6,6,VP,28-Feb-22,41,,6
,6A,5,VP,31-Aug-22,35,,6A
,7,7,VP,18-Aug-23,24,,7
,7A,6,VP,13-Sept-23,23,,7A
,8,8.5,VP,29-Aug-24,11,,8
,9A,5,VP,31-Mar-23,28,,9A
,9B,5,VP,28-Feb-25,5,,9B
,9C,5,VP,20-Mar-23,29,,9C
,9D,5,VP,21-Mar-22,41,,9D
,,,,,,,
,,,,,,,
,,,,,,,
,,89.5,,,,,
UVO,11,3,VP,29-Aug-24,11,,
,12,4,VP,25-Feb-22,41,,
,13,6,VP,31-Aug-22,35,,
,13A,4,VP,01-May-22,39,,
,17,4,VP,31-Aug-21,47,,
,18,7,VP,23-Feb-23,29,,
,18A,3,VP,18-Sept-23,23,,
,19A,5,VP,04-Mar-24,17,,
,19B,8,VP,15-Mar-23,29,,
,19C,5,VP,01-Aug-24,12,,
,20A,6,VP,28-Mar-22,40,,
,20B,5,VP,11-Sept-24,11,,
,20C,5,VP,24-Apr-24,15,,
,21,6,VP,26-Feb-23,29,,
,21A,5,VP,31-Aug-23,23,,
,22,7,VP,18-Mar-24,17,,
,48,6.5,VP,05-Feb-25,6,,
,48A,6,VP,28-Feb-25,5,,
,16NC,1,VP,01-Apr-23,28,,
,,96.5,,,,,
UDK,23,7,VP,12-Sept-22,35,,
,24,5,VP,17-Sept-23,23,,
,24A,5,VP,08-Mar-24,17,,
,25,4,VP,31-Mar-24,16,,
,26,7.5,VP,28-Feb-25,5,,
,26A,7,VP,27-Apr-24,15,,
,27,4.5,VP,31-Aug-22,35,,
,27A,5,VP,08-Apr-22,40,,
,29,4,VP,26-Feb-22,41,,
,30,4,VP,26-Aug-23,23,,
,30A,5,VP,25-Feb-23,29,,
,32,6,VP,24-Aug-24,11,,
,33,6,VP,19-Mar-23,29,,
,49,7,VP,10-Feb-25,6,,
,28,4,SD,20-Feb-23,29,,
,,81,,,,,
LDK,44,9.5,VP,23-Mar-24,16,,
,45,3.75,VP,09-Sept-22,35,,
,45A,3.75,VP,28-Feb-25,5,,
,46,3,VP,28-Feb-23,29,,
,47,1.5,VP,28-Feb-23,29,,
,50,3,VP,31-Aug-24,11,,
,51,3,VP,31-Aug-21,47,,
,52,2,VP,19-Mar-23,29,,
,52A,2,VP,27-Aug-23,23,,
,53,2,VP,25-Sept-23,22,,
,,33.5,,,,,
AGO,3A,5,VP,12-Feb-23,30,,
,3B,4.5,VP,18-Aug-23,24,,
,4A,4,VP,31-Aug-24,11,,
,9G,4,VP,02-Feb-25,6,,
,9H,4,VP,21-Mar-24,16,,
,9I,3.5,VP,19-Sept-22,35,,
,,25,,,,,
0,0,-,0,30-Dec-99,-,,
,,-,,,,,
,,325.5,,,,,
