HATTON PLANTATIONS PLC,,,,,,,,,,,,
VELLAIOYA ESTATE,,,,,,,,,,,,
 Plucking Rounds month of September 2025 ,,,,,,,,,,,,
Div,Month after Pruning,"Field
No.","Extent
in Ha.",VP/SD,Last Pruned,Month after Pruning,Month Yield, N RATIO ,, Plucking Rounds ,Remarks,
,,,,,,,,,,,,
,,,,,,,, 12 MON , SEAS ,,,
LVO,1,6,  6.00 ,VP,12-Aug-25,1,  -   ,  124.03 ,  29.76 ,  -   ,,
,6,9B,  5.00 ,VP,28-Feb-25,6,  56 ,  66.67 ,  20.45 ,  1 ,,9B
,7,3,  5.00 ,VP,10-Feb-25,7,  73 ,  126.98 ,  33.24 ,  1 ,,3
,12,8,  8.50 ,VP,29-Aug-24,12,  99 ,  24.58 ,  18.29 ,  1 ,,8
,13,5,  7.00 ,VP,19-Aug-24,13,  102 ,  23.46 ,  20.48 ,  1 ,,5
,17,2,  9.00 ,VP,07-Apr-24,17,  158 ,  26.80 ,  15.57 ,  1 ,,2
,18,5A,  7.00 ,VP,28-Mar-24,18,  85 ,  25.28 ,  14.67 ,  1 ,,5A
,18,3B,  5.00 ,VP,26-Mar-24,18,  125 ,  23.60 ,  14.48 ,  1 ,,3B
,24,1,  4.00 ,VP,25-Sep-23,24,  136 ,  23.85 ,  16.96 ,  1 ,,1
,24,7A,  6.00 ,VP,13-Sep-23,24,  152 ,  25.28 ,  24.49 ,  1 ,,7A
,25,7,  7.00 ,VP,18-Aug-23,25,  72 ,  26.06 ,  23.02 ,  1 ,,7
,30,9A,  5.00 ,VP,31-Mar-23,30,  142 ,  25.56 ,  15.30 ,  1 ,,9A
,30,9C,  5.00 ,VP,20-Mar-23,30,  35 ,  31.01 ,  23.66 ,  1 ,,9C
,37,6A,  5.00 ,VP,31-Aug-22,37,  71 ,  30.48 ,  15.15 ,  1 ,,6A
,42,9D,  5.00 ,VP,21-Mar-22,42,  -   ,  31.25 ,  14.71 ,  -   ,,
,,,  89.50 ,,,,  90 ,  29.46 ,  19.24 ,  1 ,,
UVO,1,13A,  4.00 ,VP,20-Aug-25,1,  -   ,  31.56 ,  23.94 ,  -   ,,
,1,17,  4.00 ,VP,20-Aug-25,1,  -   ,  -   ,  8.21 ,  -   ,,
