Division,Field_No,Extent,Age_Months,Months_Since_Pruning,Avg_Yield_Last5Y,Yield_per_ha,Yield_Trend,Last_App_Date,Last_Amount,Area_fert,Rounds_2324,Rounds_2425,Rounds_Trend,Rounds_Mean,Rainfall_Mean,Wetdays_Mean
LVO,1,4.0,24.0,30.2,1377.6,509.0,658.4000000000001,2023-09-25,22.0,4.0,17.0,30.0,13.0,23.5,442.77199074074065,15.980555555555556
LVO,2,9.0,17.0,23.7,1137.2,93.66666666666667,-294.20000000000005,2024-04-07,16.0,9.0,27.0,20.0,-7.0,23.5,442.77199074074065,15.980555555555556
LVO,3,5.0,7.0,13.4,1329.8,193.4,-362.79999999999995,2025-02-10,6.0,5.0,25.0,14.0,-11.0,19.5,442.77199074074065,15.980555555555556
LVO,3B,5.0,18.0,24.1,1313.4,224.0,-193.4000000000001,2024-03-26,16.0,5.0,29.0,24.0,-5.0,26.5,442.77199074074065,15.980555555555556
LVO,5,7.0,13.0,19.3,1373.0,137.57142857142858,-410.0,2024-08-19,11.0,7.0,29.0,17.0,-12.0,23.0,442.77199074074065,15.980555555555556
LVO,5A,7.0,18.0,24.1,1195.8,174.28571428571428,24.200000000000045,2024-03-28,16.0,7.0,21.0,23.0,2.0,22.0,442.77199074074065,15.980555555555556
LVO,6,6.0,1.0,7.3,1417.2,252.5,97.79999999999995,2022-02-28,41.0,6.0,27.0,23.0,-4.0,25.0,442.77199074074065,15.980555555555556
LVO,6A,5.0,37.0,43.2,1559.0,317.6,29.0,2022-08-31,35.0,5.0,33.0,25.0,-8.0,29.0,442.77199074074065,15.980555555555556
LVO,7,7.0,25.0,31.5,1476.6,243.71428571428572,229.4000000000001,2023-08-18,24.0,7.0,21.0,31.0,10.0,26.0,442.77199074074065,15.980555555555556
LVO,7A,6.0,24.0,30.6,1403.0,271.3333333333333,225.0,2023-09-13,23.0,6.0,13.0,29.0,16.0,21.0,442.77199074074065,15.980555555555556
LVO,8,8.5,12.0,18.9,1189.2,102.94117647058823,-314.20000000000005,2024-08-29,11.0,8.5,25.0,13.0,-12.0,19.0,442.77199074074065,15.980555555555556
LVO,9A,5.0,30.0,36.2,1353.2,297.6,134.79999999999995,2023-03-31,28.0,5.0,22.0,28.0,6.0,25.0,442.77199074074065,15.980555555555556
LVO,9B,5.0,6.0,12.8,1575.2,306.6,-42.200000000000045,2025-02-28,5.0,5.0,29.0,22.0,-7.0,25.5,442.77199074074065,15.980555555555556
LVO,9C,5.0,30.0,36.5,1269.2,269.8,79.79999999999995,2023-03-20,29.0,5.0,28.0,27.0,-1.0,27.5,442.77199074074065,15.980555555555556
LVO,9D,5.0,42.0,48.7,1389.0,285.6,39.0,2022-03-21,41.0,5.0,29.0,26.0,-3.0,27.5,442.77199074074065,15.980555555555556
LVO,4,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
LVO,4B,5.0,18.0,24.7,1375.3,286.6,-39.80000000000007,,23.0,5.0,26.0,25.0,-2.0,25.5,442.77199074074065,15.980555555555556
UVO,11,3.0,12.0,18.9,1566.0,219.33333333333334,-908.0,2024-08-29,11.0,3.0,29.0,12.0,-17.0,20.5,442.77199074074065,15.980555555555556
UVO,12,4.0,43.0,49.5,1267.0,350.0,133.0,2022-02-25,41.0,4.0,26.0,25.0,-1.0,25.5,442.77199074074065,15.980555555555556
UVO,13,6.0,37.0,43.2,1129.2,213.16666666666666,149.79999999999995,2022-08-31,35.0,6.0,24.0,24.0,0.0,24.0,442.77199074074065,15.980555555555556
UVO,13A,4.0,1.0,7.1,1226.6,289.0,-70.59999999999991,2022-05-01,39.0,4.0,29.0,24.0,-5.0,26.5,442.77199074074065,15.980555555555556
UVO,17,4.0,1.0,7.1,1604.8,379.0,-88.79999999999995,2021-08-31,47.0,4.0,31.0,25.0,-6.0,28.0,442.77199074074065,15.980555555555556
UVO,18,7.0,31.0,37.4,1141.0,152.85714285714286,-71.0,2023-02-23,29.0,7.0,25.0,22.0,-3.0,23.5,442.77199074074065,15.980555555555556
UVO,18A,3.0,24.0,30.5,1292.6,555.3333333333334,373.4000000000001,2023-09-18,23.0,3.0,17.0,30.0,13.0,23.5,442.77199074074065,15.980555555555556
UVO,19A,5.0,18.0,24.9,1359.0,247.2,-123.0,2024-03-04,17.0,5.0,26.0,19.0,-7.0,22.5,442.77199074074065,15.980555555555556
UVO,19B,8.0,30.0,36.7,1381.6,162.0,-85.59999999999991,2023-03-15,29.0,8.0,27.0,22.0,-5.0,24.5,442.77199074074065,15.980555555555556
UVO,19C,5.0,13.0,19.9,1166.6,124.4,-544.5999999999999,2024-08-01,12.0,5.0,27.0,13.0,-14.0,20.0,442.77199074074065,15.980555555555556
