Division,Field_No,Year,Season,Target_Days,Near_Pruning_Flag,Extent_Hect,Age_Months,Days_Since_Last_Pruning,Prune_Cycle_Stage,Soil_pH,Soil_Carbon,Ph_Deviation,Type_VP,Type_SD,Yield_Prev_Year,Yield_Avg_Last3,Yield_Trend_Last3,Field_Productivity,Rainfall_Lag1,WetDays_Lag1,Rainfall_Lag2,WetDays_Lag2,Rainfall_Lag3,WetDays_Lag3,Rainfall_Sum_3,Rain_Intensity_Lag1,Leaching_Risk,Growth_Response,Div_LVO,Div_UVO,Div_UDK,Div_LDK,Div_AGO,Solar_Lag1,Solar_Lag2,Solar_Rain_Int
AGO,3A,2024,23/24,12.4138,0,5.0,31.0,1054.0,0.9625570776255707,5.04,2.04,0.04,1,0,791.0,1230.3333333333333,-699.0,3955.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,277.60000000000025,7314760.0,0,0,0,0,1,5.17892,4.8356,35941.7048
AGO,3B,2024,23/24,16.3636,0,4.5,25.0,867.0,0.7917808219178082,4.64,2.41,0.3600000000000003,1,0,1006.0,1226.6666666666667,-353.0,4527.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,2498.4000000000024,6016980.0,0,0,0,0,1,5.17892,4.8356,35941.7048
AGO,4A,2024,23/24,12.0,0,4.0,12.0,488.0,0.445662100456621,5.3,1.73,0.2999999999999998,1,0,1444.0,1465.3333333333333,428.0,5776.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,2081.999999999998,3386720.0,0,0,0,0,1,5.17892,4.8356,35941.7048
AGO,9G,2024,23/24,12.0,0,4.0,7.0,333.0,0.3041095890410959,4.57,2.94,0.4299999999999997,1,0,934.0,1300.6666666666667,-753.0,3736.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,2984.199999999998,2311020.0,0,0,0,0,1,5.17892,4.8356,35941.7048
AGO,9H,2024,23/24,13.3333,0,4.0,18.0,651.0,0.5945205479452055,5.49,2.92,0.4900000000000002,1,0,1132.0,1025.0,85.0,4528.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,3400.6000000000013,4517940.0,0,0,0,0,1,5.17892,4.8356,35941.7048
AGO,9I,2024,23/24,10.5882,0,3.5,36.0,1200.0,1.095890410958904,5.27,1.5,0.2699999999999996,1,0,672.0,1016.0,-454.0,2352.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,1873.799999999997,8328000.0,0,0,0,0,1,5.17892,4.8356,35941.7048
LDK,44,2024,23/24,18.9474,0,9.5,18.0,649.0,0.5926940639269407,5.42,2.64,0.4199999999999999,1,0,955.0,1413.3333333333333,-330.0,9072.5,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,2914.8,4504060.0,0,0,0,1,0,5.17892,4.8356,35941.7048
LDK,45,2024,23/24,11.25,0,3.75,36.0,1210.0,1.1050228310502284,4.59,2.72,0.4100000000000001,1,0,1749.0,1763.0,-152.0,6558.75,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,2845.400000000001,8397400.0,0,0,0,1,0,5.17892,4.8356,35941.7048
LDK,45A,2024,23/24,12.4138,0,3.75,6.0,307.0,0.2803652968036529,4.7,1.01,0.2999999999999998,1,0,504.0,1348.0,-1397.0,1890.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,2081.999999999998,2130580.0,0,0,0,1,0,5.17892,4.8356,35941.7048
LDK,46,2024,23/24,11.6129,0,3.0,31.0,1038.0,0.947945205479452,4.55,2.02,0.4500000000000002,1,0,1385.0,1939.6666666666667,-896.0,4155.0,6940.0,201.0,6341.0,211.0,4440.0,186.0,17721.0,34.527363184079604,3123.0000000000014,7203720.0,0,0,0,1,0,5.17892,4.8356,35941.7048
