Division,Field_No,Year,Season,Annual_Rounds,Months_In_Season,Target_Days,Near_Pruning_Flag,Extent_Hect,Age_Months,Days_Since_Last_Pruning,Prune_Cycle_Stage,Soil_pH,Soil_Carbon,Ph_Deviation,Type_VP,Type_SD,Yield_Prev_Year,Yield_Avg_Last3,Yield_Trend_Last3,Field_Productivity,Rainfall_Current,WetDays_Current,Rainfall_Lag1,WetDays_Lag1,Rainfall_Lag2,WetDays_Lag2,Rainfall_Lag3,WetDays_Lag3,Rainfall_Sum_3,Rain_Intensity_Lag1,Leaching_Risk,Growth_Response,Div_LVO,Div_UVO,Div_UDK,Div_LDK,Div_AGO,Target_Lag1,Target_Lag2,Solar_Current,Solar_Lag1,Solar_Lag2,Solar_Rain_Int
AGO,3A,2025,24/25,29.0,12,12.4138,0,5.0,31.0,1054.0,0.9625570776255707,5.04,2.04,0.04,1,0,1240.0,1147.0,-170.0,6200.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,186.48000000000016,4913748.0,0,0,0,0,1,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
AGO,3B,2025,24/25,31.0,12,11.6129,0,4.5,25.0,867.0,0.7917808219178082,4.64,2.41,0.3600000000000003,1,0,865.0,1062.0,-450.0,3892.5,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1678.3200000000015,4041954.0,0,0,0,0,1,16.3636,,5.01988,4.82136,5.17892,22477.180320000003
AGO,4A,2025,24/25,21.0,12,17.1429,0,4.0,12.0,488.0,0.445662100456621,5.3,1.73,0.2999999999999998,1,0,1445.0,1608.3333333333333,-491.0,5780.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1398.5999999999992,2275056.0,0,0,0,0,1,12.0,,5.01988,4.82136,5.17892,22477.180320000003
AGO,9G,2025,24/25,24.0,12,15.0,0,4.0,7.0,333.0,0.3041095890410959,4.57,2.94,0.4299999999999997,1,0,1548.0,1254.3333333333333,267.0,6192.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2004.6599999999987,1552446.0,0,0,0,0,1,12.0,,5.01988,4.82136,5.17892,22477.180320000003
AGO,9H,2025,24/25,30.0,12,12.0,0,4.0,18.0,651.0,0.5945205479452055,5.49,2.92,0.4900000000000002,1,0,856.0,961.3333333333334,-40.0,3424.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2284.380000000001,3034962.0,0,0,0,0,1,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
AGO,9I,2025,24/25,28.0,12,12.8571,0,3.5,36.0,1200.0,1.095890410958904,5.27,1.5,0.2699999999999996,1,0,1494.0,1138.6666666666667,244.0,5229.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1258.739999999998,5594400.0,0,0,0,0,1,10.5882,,5.01988,4.82136,5.17892,22477.180320000003
LDK,44,2025,24/25,29.0,12,12.4138,0,9.5,18.0,649.0,0.5926940639269407,5.42,2.64,0.4199999999999999,1,0,868.0,1274.3333333333333,-1132.0,8246.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1958.04,3025638.0,0,0,0,1,0,18.9474,,5.01988,4.82136,5.17892,22477.180320000003
LDK,45,2025,24/25,30.0,12,12.0,0,3.75,36.0,1210.0,1.1050228310502284,4.59,2.72,0.4100000000000001,1,0,2332.0,1906.6666666666667,693.0,8745.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1911.4200000000008,5641020.0,0,0,0,1,0,11.25,,5.01988,4.82136,5.17892,22477.180320000003
LDK,45A,2025,24/25,27.0,12,13.3333,0,3.75,6.0,307.0,0.2803652968036529,4.7,1.01,0.2999999999999998,1,0,1867.0,1336.6666666666667,228.0,7001.25,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1398.5999999999992,1431234.0,0,0,0,1,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
LDK,46,2025,24/25,31.0,12,11.6129,0,3.0,31.0,1038.0,0.947945205479452,4.55,2.02,0.4500000000000002,1,0,1875.0,1804.3333333333333,-278.0,5625.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2097.900000000001,4839156.0,0,0,0,1,0,11.6129,,5.01988,4.82136,5.17892,22477.180320000003
LDK,47,2025,24/25,37.0,12,9.7297,0,1.5,31.0,1038.0,0.947945205479452,4.83,1.83,0.1699999999999999,1,0,1932.0,1966.0,-639.0,2898.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,792.5399999999996,4839156.0,0,0,0,1,0,11.6129,,5.01988,4.82136,5.17892,22477.180320000003
LDK,50,2025,24/25,20.0,12,18.0,0,3.0,12.0,488.0,0.445662100456621,4.89,1.44,0.1100000000000003,1,0,2105.0,1811.3333333333333,677.0,6315.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,512.8200000000015,2275056.0,0,0,0,1,0,12.0,,5.01988,4.82136,5.17892,22477.180320000003
LDK,51,2025,24/25,33.0,12,10.9091,0,3.0,1.0,130.0,0.1187214611872146,4.77,1.24,0.2300000000000004,1,0,2095.0,1857.0,444.0,6285.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1072.260000000002,606060.0,0,0,0,1,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
LDK,52,2025,24/25,36.0,12,10.0,0,2.0,30.0,1019.0,0.930593607305936,5.33,1.68,0.33,1,0,1680.0,1914.3333333333333,-646.0,3360.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1538.4600000000005,4750578.0,0,0,0,1,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
LDK,52A,2025,24/25,36.0,12,10.0,0,2.0,25.0,858.0,0.7835616438356164,4.86,2.89,0.1399999999999996,1,0,1363.0,1779.3333333333333,-997.0,2726.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,652.6799999999985,3999996.0,0,0,0,1,0,17.1429,,5.01988,4.82136,5.17892,22477.180320000003
LDK,53,2025,24/25,37.0,12,9.7297,0,2.0,24.0,829.0,0.7570776255707763,4.78,1.65,0.2199999999999997,1,0,1363.0,1671.3333333333333,-774.0,2726.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1025.6399999999987,3864798.0,0,0,0,1,0,18.0,,5.01988,4.82136,5.17892,22477.180320000003
LVO,1,2025,24/25,30.0,12,12.0,0,4.0,24.0,829.0,0.7570776255707763,4.87,1.4,0.1299999999999999,1,0,809.0,1055.0,-478.0,3236.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,606.0599999999995,3864798.0,1,0,0,0,0,21.1765,,5.01988,4.82136,5.17892,22477.180320000003
LVO,2,2025,24/25,20.0,12,18.0,0,9.0,17.0,634.0,0.5789954337899543,5.45,1.01,0.4500000000000002,1,0,1315.0,1369.0,-359.0,11835.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2097.900000000001,2955708.0,1,0,0,0,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
LVO,3,2025,24/25,14.0,12,25.7143,0,5.0,7.0,325.0,0.2968036529680365,5.23,2.63,0.2300000000000004,1,0,1652.0,1316.6666666666667,847.0,8260.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1072.260000000002,1515150.0,1,0,0,0,0,14.4,,5.01988,4.82136,5.17892,22477.180320000003
LVO,3B,2025,24/25,24.0,12,15.0,0,5.0,18.0,646.0,0.5899543378995433,5.1,2.41,0.0999999999999996,1,0,1645.0,1408.6666666666667,539.0,8225.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,466.1999999999984,3011652.0,1,0,0,0,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
LVO,4,2025,24/25,24.0,12,15.0,0,,,,,4.68,2.46,0.3200000000000003,0,0,,,,,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1491.8400000000013,,1,0,0,0,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
LVO,4B,2025,24/25,24.0,12,15.0,0,,,,,4.8,2.28,0.2000000000000001,0,0,,,,,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,932.4000000000008,,1,0,0,0,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
LVO,5,2025,24/25,17.0,12,21.1765,0,7.0,13.0,500.0,0.45662100456621,4.66,2.46,0.3399999999999998,1,0,1609.0,1610.0,-268.0,11263.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1585.0799999999992,2331000.0,1,0,0,0,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
LVO,5A,2025,24/25,23.0,12,15.6522,0,7.0,18.0,644.0,0.5881278538812785,4.66,2.54,0.3399999999999998,1,0,1139.0,1378.6666666666667,-699.0,7973.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1585.0799999999992,3002328.0,1,0,0,0,0,17.1429,,5.01988,4.82136,5.17892,22477.180320000003
LVO,6,2025,24/25,23.0,12,15.6522,0,6.0,1.0,142.0,0.1296803652968036,4.56,1.15,0.4400000000000004,1,0,1503.0,1187.6666666666667,572.0,9018.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2051.280000000002,662004.0,1,0,0,0,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
LVO,6A,2025,24/25,25.0,12,14.4,0,5.0,37.0,1219.0,1.11324200913242,5.37,1.72,0.3700000000000001,1,0,1849.0,1330.6666666666667,338.0,9245.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1724.9400000000005,5682978.0,1,0,0,0,0,10.9091,,5.01988,4.82136,5.17892,22477.180320000003
LVO,7,2025,24/25,31.0,12,11.6129,0,7.0,25.0,867.0,0.7917808219178082,5.1,1.23,0.0999999999999996,1,0,844.0,1295.0,-812.0,5908.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,466.1999999999984,4041954.0,1,0,0,0,0,17.1429,,5.01988,4.82136,5.17892,22477.180320000003
LVO,7A,2025,24/25,29.0,12,12.4138,0,6.0,24.0,841.0,0.7680365296803653,5.21,2.73,0.2099999999999999,1,0,691.0,1143.6666666666667,-858.0,4146.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,979.02,3920742.0,1,0,0,0,0,27.6923,,5.01988,4.82136,5.17892,22477.180320000003
LVO,8,2025,24/25,13.0,12,27.6923,0,8.5,12.0,490.0,0.4474885844748858,4.52,2.25,0.4800000000000004,1,0,1425.0,1434.6666666666667,-346.0,12112.5,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2237.760000000002,2284380.0,1,0,0,0,0,14.4,,5.01988,4.82136,5.17892,22477.180320000003
LVO,9A,2025,24/25,28.0,12,12.8571,0,5.0,30.0,1007.0,0.919634703196347,5.47,1.66,0.4699999999999997,1,0,1159.0,1263.6666666666667,-322.0,5795.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2191.139999999999,4694634.0,1,0,0,0,0,16.3636,,5.01988,4.82136,5.17892,22477.180320000003
LVO,9B,2025,24/25,22.0,12,16.3636,0,5.0,6.0,307.0,0.2803652968036529,5.33,1.13,0.33,1,0,1740.0,1456.6666666666667,652.0,8700.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1538.4600000000005,1431234.0,1,0,0,0,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
LVO,9C,2025,24/25,27.0,12,13.3333,0,5.0,30.0,1018.0,0.9296803652968036,4.71,1.62,0.29,1,0,1277.0,1188.6666666666667,-92.0,6385.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1351.9800000000002,4745916.0,1,0,0,0,0,12.8571,,5.01988,4.82136,5.17892,22477.180320000003
LVO,9D,2025,24/25,26.0,12,13.8462,0,5.0,42.0,1382.0,1.2621004566210046,4.68,1.65,0.3200000000000003,1,0,1546.0,1166.6666666666667,250.0,7730.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1491.8400000000013,6442884.0,1,0,0,0,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
UDK,23,2025,24/25,31.0,12,11.6129,0,7.0,36.0,1207.0,1.102283105022831,4.62,1.32,0.3799999999999999,1,0,1923.0,1647.3333333333333,-214.0,13461.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1771.5599999999995,5627034.0,0,0,1,0,0,13.8462,,5.01988,4.82136,5.17892,22477.180320000003
UDK,24,2025,24/25,31.0,12,11.6129,0,5.0,24.0,837.0,0.7643835616438356,5.0,2.86,0.0,1,0,1061.0,1446.0,-673.0,5305.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,0.0,3902094.0,0,0,1,0,0,25.7143,,5.01988,4.82136,5.17892,22477.180320000003
UDK,24A,2025,24/25,28.0,12,12.8571,0,5.0,18.0,664.0,0.6063926940639269,4.53,2.62,0.4699999999999997,1,0,1525.0,1730.3333333333333,-744.0,7625.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2191.139999999999,3095568.0,0,0,1,0,0,18.0,,5.01988,4.82136,5.17892,22477.180320000003
UDK,25,2025,24/25,29.0,12,12.4138,0,4.0,17.0,641.0,0.5853881278538813,5.41,2.27,0.4100000000000001,1,0,1705.0,1847.6666666666667,-596.0,6820.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1911.4200000000008,2988342.0,0,0,1,0,0,15.0,,5.01988,4.82136,5.17892,22477.180320000003
UDK,26,2025,24/25,28.0,12,12.8571,0,7.5,6.0,307.0,0.2803652968036529,4.76,2.74,0.2400000000000002,1,0,1720.0,1489.0,842.0,12900.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1118.880000000001,1431234.0,0,0,1,0,0,10.0,,5.01988,4.82136,5.17892,22477.180320000003
UDK,26A,2025,24/25,20.0,12,18.0,0,7.0,17.0,614.0,0.5607305936073059,5.16,2.61,0.1600000000000001,1,0,1230.0,1428.3333333333333,-301.0,8610.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,745.9200000000006,2862468.0,0,0,1,0,0,15.0,,5.01988,4.82136,5.17892,22477.180320000003
UDK,27,2025,24/25,30.0,12,12.0,0,4.5,37.0,1219.0,1.11324200913242,4.81,1.37,0.1900000000000004,1,0,2363.0,1940.0,544.0,10633.5,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,885.7800000000018,5682978.0,0,0,1,0,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
UDK,27A,2025,24/25,29.0,12,12.4138,0,5.0,1.0,135.0,0.1232876712328767,5.02,2.79,0.0199999999999995,1,0,1512.0,1311.0,-307.0,7560.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,93.23999999999802,629370.0,0,0,1,0,0,15.0,,5.01988,4.82136,5.17892,22477.180320000003
UDK,28,2025,24/25,23.0,12,15.6522,0,4.0,31.0,1046.0,0.9552511415525116,5.1,1.85,0.0999999999999996,0,1,2067.0,1402.0,608.0,8268.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,466.1999999999984,4876452.0,0,0,1,0,0,17.1429,,5.01988,4.82136,5.17892,22477.180320000003
UDK,29,2025,24/25,34.0,12,10.5882,0,4.0,1.0,139.0,0.1269406392694063,5.05,2.08,0.0499999999999998,1,0,2043.0,1721.6666666666667,229.0,8172.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,233.0999999999992,648018.0,0,0,1,0,0,13.3333,,5.01988,4.82136,5.17892,22477.180320000003
UDK,30,2025,24/25,34.0,12,10.5882,0,4.0,25.0,859.0,0.7844748858447489,4.68,2.61,0.3200000000000003,1,0,1396.0,1836.3333333333333,-974.0,5584.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1491.8400000000013,4004658.0,0,0,1,0,0,18.9474,,5.01988,4.82136,5.17892,22477.180320000003
UDK,30A,2025,24/25,30.0,12,12.0,0,5.0,31.0,1041.0,0.9506849315068492,5.47,2.79,0.4699999999999997,1,0,1204.0,1314.6666666666667,-364.0,6020.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2191.139999999999,4853142.0,0,0,1,0,0,15.6522,,5.01988,4.82136,5.17892,22477.180320000003
UDK,32,2025,24/25,20.0,12,18.0,0,6.0,13.0,495.0,0.4520547945205479,5.28,1.64,0.2800000000000002,1,0,1473.0,1358.3333333333333,258.0,8838.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1305.3600000000013,2307690.0,0,0,1,0,0,14.4,,5.01988,4.82136,5.17892,22477.180320000003
UDK,33,2025,24/25,30.0,12,12.0,0,6.0,30.0,1019.0,0.930593607305936,5.44,1.22,0.4400000000000004,1,0,1422.0,2038.6666666666667,-1431.0,8532.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,2051.280000000002,4750578.0,0,0,1,0,0,15.0,,5.01988,4.82136,5.17892,22477.180320000003
UDK,49,2025,24/25,23.0,12,15.6522,0,7.0,7.0,325.0,0.2968036529680365,5.39,1.46,0.3899999999999997,1,0,1859.0,1607.0,908.0,13013.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1818.1799999999985,1515150.0,0,0,1,0,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
UVO,10,2025,24/25,21.0,12,17.1429,0,,,,,4.6,1.46,0.4000000000000003,0,0,,,,,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,1864.800000000001,,0,1,0,0,0,13.8462,,5.01988,4.82136,5.17892,22477.180320000003
UVO,11,2025,24/25,12.0,12,30.0,0,3.0,12.0,490.0,0.4474885844748858,5.02,2.77,0.0199999999999995,0,0,1790.0,1859.0,-328.0,5370.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,93.23999999999802,2284380.0,0,1,0,0,0,12.4138,,5.01988,4.82136,5.17892,22477.180320000003
UVO,12,2025,24/25,25.0,12,14.4,0,4.0,43.0,1406.0,1.2840182648401826,4.93,1.94,0.0700000000000002,1,0,1470.0,1291.0,431.0,5880.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,326.34000000000134,6554772.0,0,1,0,0,0,13.8462,,5.01988,4.82136,5.17892,22477.180320000003
UVO,13,2025,24/25,24.0,12,15.0,0,6.0,37.0,1219.0,1.11324200913242,4.79,1.24,0.2099999999999999,1,0,1329.0,995.0,369.0,7974.0,3448.0,180.0,4662.0,203.0,6940.0,201.0,6341.0,211.0,17943.0,22.96551724137931,979.02,5682978.0,0,1,0,0,0,15.0,,5.01988,4.82136,5.17892,22477.180320000003
